,path,link,name,dvornik
205,"Chevrolet,Aveo,2 пок., (11-) седан",https://avto-dvorniki.ru/car/chevrolet/aveo/0677/,"Стеклоочистители для Chevrolet Aveo 2 пок., (11-) седан",",Комплект Bosch AeroTwin Multi-Clip AM466S,Комплект Bosch AeroTwin Plus (AP650U+AP380U),Комплект Alca Super Flat (ASF65+ASF38),Комплект Heyner Hybrid (HG65+HG38),Комплект Alca Winter (AW65+AW38),Комплект Valeo HydroConnect Front (HF65+HF38),Комплект Valeo Silencio Flat VF839 / VM839,Комплект Hella Dyna Blade (WBU26+WBU15),Комплект Denso Flat DF-051"
206,"Chevrolet,Aveo,1 пок., (06-11) хэтчбек, рестайлинг",https://avto-dvorniki.ru/car/chevrolet/aveo/0676/,"Стеклоочистители для Chevrolet Aveo 1 пок., (06-11) хэтчбек, рестайлинг",",Комплект Bosch AeroTwin (AR22U+AR16U),Комплект Bosch AeroTwin AR552S,Комплект Trico Ice (ICE550+ICE400),Комплект Alca Super Flat (ASF56+ASF40),Комплект Heyner Hybrid (HG56+HG40),Комплект Hella Razor Hybrid (22+16),Комплект Alca Winter (AW56+AW40),Комплект SWF VisioNext (119855+119840),Комплект Denso Flat (DFR-006+DFR-001),Комплект Trico NeoForm (NF550+NF400),Комплект Valeo HydroConnect Upgrade (HU55+HU40),Комплект Hella Dyna Blade (WBU22+WBU16),Комплект Trico Force (TF550L+TF400L)"
207,"Chevrolet,Aveo,1 пок., (06-11) седан, рестайлинг",https://avto-dvorniki.ru/car/chevrolet/aveo/0675/,"Стеклоочистители для Chevrolet Aveo 1 пок., (06-11) седан, рестайлинг",",Комплект Bosch AeroTwin (AR22U+AR16U),Комплект Bosch AeroTwin AR552S,Комплект Trico Ice (ICE550+ICE400),Комплект Alca Super Flat (ASF56+ASF40),Комплект Heyner Hybrid (HG56+HG40),Комплект Hella Razor Hybrid (22+16),Комплект Alca Winter (AW56+AW40),Комплект SWF VisioNext (119855+119840),Комплект Denso Flat (DFR-006+DFR-001),Комплект Trico NeoForm (NF550+NF400),Комплект Valeo HydroConnect Upgrade (HU55+HU40),Комплект Hella Dyna Blade (WBU22+WBU16),Комплект Trico Force (TF550L+TF400L)"
208,"Chevrolet,Camaro,5 пок., (13-) рестайлинг",https://avto-dvorniki.ru/car/chevrolet/camaro/0633/,"Стеклоочистители для Chevrolet Camaro 5 пок., (13-) рестайлинг",",Комплект Trico Ice (ICE600+ICE530),Комплект Heyner Hybrid (HG60+HG53),Комплект Hella Dyna Blade (WBU24+WBU21)"
209,"Chevrolet,Camaro,5 пок., (09-13)",https://avto-dvorniki.ru/car/chevrolet/camaro/0386/,"Стеклоочистители для Chevrolet Camaro 5 пок., (09-13)",",Комплект Trico Ice (ICE600+ICE530),Комплект Denso Hybrid (DUR-060L+DUR-053L),Комплект Heyner Hybrid (HG60+HG53),Комплект Trico NeoForm (NF600+NF530),Комплект Valeo HydroConnect Upgrade (HU60+HU53),Комплект Hella Razor Hybrid (24+21),Комплект SWF VisioNext (119860+119853),Комплект Hella Dyna Blade (WBU24+WBU21)"
210,"Chevrolet,Captiva,1 пок., (13-) 2-ой рестайлинг",https://avto-dvorniki.ru/car/chevrolet/captiva/0634/,"Стеклоочистители для Chevrolet Captiva 1 пок., (13-) 2-ой рестайлинг",",Комплект Bosch AeroTwin AR601S,Комплект Trico Ice (ICE600+ICE400),Комплект SWF VisioFlex 119760,Комплект Heyner Hybrid (HG60+HG40),Комплект Hella Razor Hybrid (24+16),Комплект SWF VisioNext (119860+119840),Комплект Valeo HydroConnect Upgrade (HU60+HU40),Комплект Hella Dyna Blade (WBU24+WBU16)"
211,"Chevrolet,Captiva,1 пок., (11-13) рестайлинг",https://avto-dvorniki.ru/car/chevrolet/captiva/0388/,"Стеклоочистители для Chevrolet Captiva 1 пок., (11-13) рестайлинг",",Комплект Bosch AeroTwin AR601S,Комплект Bosch AeroTwin (AR24U+AR16U),Комплект Trico Ice (ICE600+ICE400),Комплект SWF VisioFlex 119760,Комплект Heyner Hybrid (HG60+HG40),Комплект Hella Razor Hybrid (24+16),Комплект Alca Winter (AW60+AW40),Комплект SWF VisioNext (119860+119840),Комплект Trico NeoForm (NF600+NF400),Комплект Valeo HydroConnect Upgrade (HU60+HU40),Комплект Hella Dyna Blade (WBU24+WBU16),Комплект Trico Force (TF600L+TF400L)"
212,"Chevrolet,Captiva,1 пок., (06-11)",https://avto-dvorniki.ru/car/chevrolet/captiva/0387/,"Стеклоочистители для Chevrolet Captiva 1 пок., (06-11)",",Комплект Bosch AeroTwin AR601S,Комплект Bosch AeroTwin (AR24U+AR16U),Комплект Trico Ice (ICE600+ICE400),Комплект SWF VisioFlex 119760,Комплект Denso Hybrid (DUR-060L+DU-040L),Комплект Heyner Hybrid (HG60+HG40),Комплект Hella Razor Hybrid (24+16),Комплект Alca Winter (AW60+AW40),Комплект SWF VisioNext (119860+119840),Комплект Trico NeoForm (NF600+NF400),Комплект Valeo HydroConnect Upgrade (HU60+HU40),Комплект Hella Dyna Blade (WBU24+WBU16),Комплект Trico Force (TF600L+TF400L)"
213,"Chevrolet,Cobalt,(13-)",https://avto-dvorniki.ru/car/chevrolet/cobalt/0389/,Стеклоочистители для Chevrolet Cobalt (13-),",Комплект Bosch AeroTwin (AR26U+AR16U),Комплект Bosch AeroTwin AR653S,Комплект Trico Ice (ICE650+ICE400),Комплект Denso Hybrid (DUR-065L+DU-040L),Комплект SWF VisioFlex 119780,Комплект Alca Super Flat (ASF65+ASF40),Комплект Heyner Hybrid (HG65+HG40),Комплект Hella Razor Hybrid (26+16),Комплект SWF VisioNext (119865+119840),Комплект Alca Winter (AW65+AW40),Комплект Trico NeoForm (NF650+NF400),Комплект Hella Dyna Blade (WBU26+WBU16)"
214,"Chevrolet,Cruze,J300 (12-) хэтчбек, рестайлинг",https://avto-dvorniki.ru/car/chevrolet/cruze/0391/,"Стеклоочистители для Chevrolet Cruze J300 (12-) хэтчбек, рестайлинг",",Комплект Hella Razor Hybrid (24+18),Комплект Bosch AeroTwin AR291S,Комплект Trico Ice (ICE600+ICE450),Комплект Denso Hybrid (DUR-060L+DUR-045L),Комплект Heyner Hybrid (HG60+HG45),Комплект Heyner All Seasons (HAS60+HAS45),Комплект SWF VisioNext (119860+119845),Комплект Trico NeoForm (NF600+NF450),Комплект Valeo HydroConnect Upgrade (HU60+HU45),Комплект Hella Dyna Blade (WBU24+WBU18),Комплект Trico Force (TF600L+TF450L)"
215,"Chevrolet,Cruze,J300 (12-) универсал, рестайлинг",https://avto-dvorniki.ru/car/chevrolet/cruze/0392/,"Стеклоочистители для Chevrolet Cruze J300 (12-) универсал, рестайлинг",",Комплект Hella Razor Hybrid (24+18),Комплект Bosch AeroTwin AR291S,Комплект Trico Ice (ICE600+ICE450),Комплект Denso Hybrid (DUR-060L+DUR-045L),Комплект Heyner Hybrid (HG60+HG45),Комплект Heyner All Seasons (HAS60+HAS45),Комплект SWF VisioNext (119860+119845),Комплект Trico NeoForm (NF600+NF450),Комплект Valeo HydroConnect Upgrade (HU60+HU45),Комплект Hella Dyna Blade (WBU24+WBU18),Комплект Trico Force (TF600L+TF450L)"
216,"Chevrolet,Cruze,J300 (09-12) седан",https://avto-dvorniki.ru/car/chevrolet/cruze/0390/,Стеклоочистители для Chevrolet Cruze J300 (09-12) седан,",Комплект Hella Razor Hybrid (24+18),Комплект Bosch AeroTwin AR291S,Комплект Trico Ice (ICE600+ICE450),Комплект Denso Hybrid (DUR-060L+DUR-045L),Комплект Heyner Hybrid (HG60+HG45),Комплект Heyner All Seasons (HAS60+HAS45),Комплект SWF VisioNext (119860+119845),Комплект Alca Winter (AW60+AW45),Комплект Trico NeoForm (NF600+NF450),Комплект Valeo HydroConnect Upgrade (HU60+HU45),Комплект Bosch AeroTwin (AR24U+AR18U),Комплект Hella Dyna Blade (WBU24+WBU18),Комплект Trico Force (TF600L+TF450L)"
217,"Chevrolet,Epica,(06-12)",https://avto-dvorniki.ru/car/chevrolet/epica/0393/,Стеклоочистители для Chevrolet Epica (06-12),",Комплект Bosch AeroTwin AR551S,Комплект Hella Razor Hybrid (22+20),Комплект Bosch AeroTwin (AR22U+AR20U),Комплект Trico Ice (ICE550+ICE500),Комплект Denso Hybrid (DUR-055L+DUR-050L),Комплект Alca Super Flat (ASF56+ASF50),Комплект Heyner Hybrid (HG56+HG50),Комплект Alca Winter (AW56+AW50),Комплект SWF VisioNext (119855+119850),Комплект Trico NeoForm (NF550+NF500),Комплект Valeo HydroConnect Upgrade (HU55+HU50),Комплект SWF VisioFlex 119741,Комплект Hella Dyna Blade (WBU22+WBU20)"
218,"Chevrolet,Lacetti,(04-13) хэтчбек",https://avto-dvorniki.ru/car/chevrolet/lacetti/0402/,Стеклоочистители для Chevrolet Lacetti (04-13) хэтчбек,",Комплект Bosch AeroTwin AR728S,Комплект Hella Razor Hybrid (22+19),Комплект Bosch AeroTwin (AR22U+AR19U),Комплект Trico Ice (ICE550+ICE480),Комплект Denso Hybrid (DUR-055L+DUR-048L),Комплект Alca Super Flat (ASF56+ASF48),Комплект Heyner Hybrid (HG56+HG48),Комплект Alca Winter (AW56+AW48),Комплект Trico NeoForm (NF550+NF480),Комплект Valeo HydroConnect Upgrade (HU55+HU48),Комплект SWF VisioFlex 119740,Комплект Hella Dyna Blade (WBU22+WBU19),Комплект SWF VisioNext (119855+119848),Комплект Trico Force (TF550L+TF480L)"
219,"Chevrolet,Lacetti,(04-13) универсал",https://avto-dvorniki.ru/car/chevrolet/lacetti/0403/,Стеклоочистители для Chevrolet Lacetti (04-13) универсал,",Комплект Bosch AeroTwin AR728S,Комплект Hella Razor Hybrid (22+19),Комплект Bosch AeroTwin (AR22U+AR19U),Комплект Trico Ice (ICE550+ICE480),Комплект Denso Hybrid (DUR-055L+DUR-048L),Комплект Alca Super Flat (ASF56+ASF48),Комплект Heyner Hybrid (HG56+HG48),Комплект Alca Winter (AW56+AW48),Комплект Trico NeoForm (NF550+NF480),Комплект Valeo HydroConnect Upgrade (HU55+HU48),Комплект SWF VisioFlex 119740,Комплект Hella Dyna Blade (WBU22+WBU19),Комплект SWF VisioNext (119855+119848),Комплект Trico Force (TF550L+TF480L)"
220,"Chevrolet,Lacetti,(04-13) седан",https://avto-dvorniki.ru/car/chevrolet/lacetti/0401/,Стеклоочистители для Chevrolet Lacetti (04-13) седан,",Комплект Bosch AeroTwin AR728S,Комплект Hella Razor Hybrid (22+19),Комплект Bosch AeroTwin (AR22U+AR19U),Комплект Trico Ice (ICE550+ICE480),Комплект Denso Hybrid (DUR-055L+DUR-048L),Комплект Alca Super Flat (ASF56+ASF48),Комплект Heyner Hybrid (HG56+HG48),Комплект Alca Winter (AW56+AW48),Комплект Trico NeoForm (NF550+NF480),Комплект Valeo HydroConnect Upgrade (HU55+HU48),Комплект SWF VisioFlex 119740,Комплект Hella Dyna Blade (WBU22+WBU19),Комплект SWF VisioNext (119855+119848),Комплект Trico Force (TF550L+TF480L)"
221,"Chevrolet,Lanos,(04-09)",https://avto-dvorniki.ru/car/chevrolet/lanos/0404/,Стеклоочистители для Chevrolet Lanos (04-09),",Комплект Bosch AeroTwin AR480S,Комплект Hella Razor Hybrid (19+19),Комплект Bosch AeroTwin (AR19U+AR19U),Комплект Trico Ice (ICE480+ICE480),Комплект Denso Hybrid (DUR-048L+DUR-048L),Комплект Alca Super Flat (ASF48+ASF48),Комплект Heyner Hybrid (HG48+HG48),Комплект Alca Winter (AW48+AW48),Комплект Trico NeoForm (NF480+NF480),Комплект Hella Dyna Blade (WBU19+WBU19),Комплект SWF VisioNext (119848+119848)"
222,"Chevrolet,Niva,(02-)",https://avto-dvorniki.ru/car/chevrolet/niva/0405/,Стеклоочистители для Chevrolet Niva (02-),",Комплект Hella Razor Hybrid (20+20),Комплект Bosch AeroTwin (AR20U+AR20U),Комплект Trico Ice (ICE500+ICE500),Комплект Denso Hybrid (DUR-050L+DUR-050L),Комплект Alca Super Flat (ASF50+ASF50),Комплект Heyner Hybrid (HG50+HG50),Комплект Alca Winter (AW50+AW50),Комплект Trico NeoForm (NF500+NF500),Комплект Hella Dyna Blade (WBU20+WBU20)"
223,"Chevrolet,Orlando,(10-)",https://avto-dvorniki.ru/car/chevrolet/orlando/0394/,Стеклоочистители для Chevrolet Orlando (10-),",Комплект Bosch AeroTwin AR607S,Комплект Hella Razor Hybrid (24+19),Комплект Bosch AeroTwin (AR24U+AR19U),Комплект Trico Ice (ICE600+ICE480),Комплект Heyner Hybrid (HG60+HG48),Комплект Alca Winter (AW60+AW48),Комплект Trico NeoForm (NF600+NF480),Комплект SWF VisioNext (119860+119848),Комплект Hella Dyna Blade (WBU24+WBU19),Комплект Trico Force (TF600L+TF480L)"
224,"Chevrolet,Rezzo,(05-10)",https://avto-dvorniki.ru/car/chevrolet/rezzo/0406/,Стеклоочистители для Chevrolet Rezzo (05-10),",Комплект Bosch AeroTwin AR604S,Комплект Hella Razor Hybrid (24+18),Комплект Trico Ice (ICE600+ICE450),Комплект Heyner Hybrid (HG60+HG45),Комплект Heyner All Seasons (HAS60+HAS45),Комплект SWF VisioNext (119860+119845),Комплект Alca Winter (AW60+AW45),Комплект Trico NeoForm (NF600+NF450),Комплект Valeo HydroConnect Upgrade (HU60+HU45),Комплект Bosch AeroTwin (AR24U+AR18U),Комплект SWF VisioFlex 119761,Комплект Hella Dyna Blade (WBU24+WBU18),Комплект Trico Force (TF600L+TF450L)"
225,"Chevrolet,Spark,2 пок., (10-)",https://avto-dvorniki.ru/car/chevrolet/spark/0396/,"Стеклоочистители для Chevrolet Spark 2 пок., (10-)",",Комплект Bosch AeroTwin AR553S,Комплект Denso Hybrid (DUR-055L+DU-035L),Комплект Hella Razor Hybrid (22+14),Комплект SWF VisioNext (119855+119835),Комплект Trico NeoForm (NF550+NF350),Комплект Valeo HydroConnect Upgrade (HU55+HU35),Комплект Hella Dyna Blade (WBU22+WBU14),Комплект Trico Force (TF550L+TF350L)"
226,"Chevrolet,Spark,1 пок., (05-10)",https://avto-dvorniki.ru/car/chevrolet/spark/0395/,"Стеклоочистители для Chevrolet Spark 1 пок., (05-10)",",Комплект Bosch AeroTwin (AR22U+AR13U),Комплект Bosch AeroTwin AR553S,Комплект Denso Hybrid (DUR-055L+DU-035L),Комплект Hella Razor Hybrid (22+14),Комплект SWF VisioNext (119855+119835),Комплект Trico NeoForm (NF550+NF350),Комплект Hella Dyna Blade (WBU22+WBU14),Комплект Trico Force (TF550L+TF350L)"
227,"Chevrolet,Suburban,(07-15)",https://avto-dvorniki.ru/car/chevrolet/suburban/1698/,Стеклоочистители для Chevrolet Suburban (07-15),",Комплект Bosch AeroTwin A969S,Комплект Valeo HydroConnect Front (HF55+HF55),Комплект SWF VisioFlex 119354"
228,"Chevrolet,Suburban,(00-07)",https://avto-dvorniki.ru/car/chevrolet/suburban/1697/,Стеклоочистители для Chevrolet Suburban (00-07),",Комплект Bosch AeroTwin (AR22U+AR22U),Комплект Hella Razor Hybrid (22+22),Комплект Trico Ice (ICE550+ICE550),Комплект Denso Hybrid (DUR-055L+DUR-055L),Комплект SWF VisioNext (119855+119855),Комплект Denso Flat (DFR-006+DFR-006),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Hella Dyna Blade (WBU22+WBU22)"
229,"Chevrolet,Tahoe,4 пок., (14-)",https://avto-dvorniki.ru/car/chevrolet/tahoe/1836/,"Стеклоочистители для Chevrolet Tahoe 4 пок., (14-)",",Комплект Bosch AeroTwin (AR22U+AR22U),Комплект Hella Razor Hybrid (22+22),Комплект Trico Ice (ICE550+ICE550),Комплект Denso Hybrid (DUR-055L+DUR-055L),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Hella Dyna Blade (WBU22+WBU22),Комплект Trico Force (TF550L+TF550L)"
230,"Chevrolet,Tahoe,3 пок., (08-14) крепление «крючок»",https://avto-dvorniki.ru/car/chevrolet/tahoe/0635/,"Стеклоочистители для Chevrolet Tahoe 3 пок., (08-14) крепление «крючок»",",Комплект Hella Razor Hybrid (24+22),Комплект Bosch AeroTwin (AR24U+AR22U),Комплект Trico Ice (ICE600+ICE550),Комплект Heyner Hybrid (HG60+HG56),Комплект Alca Winter (AW60+AW56),Комплект Trico NeoForm (NF600+NF550),Комплект Hella Dyna Blade (WBU24+WBU22)"
231,"Chevrolet,Tahoe,3 пок., (08-14) крепление «боковой зажим»",https://avto-dvorniki.ru/car/chevrolet/tahoe/0398/,"Стеклоочистители для Chevrolet Tahoe 3 пок., (08-14) крепление «боковой зажим»",",Комплект Bosch AeroTwin Plus (AP550U+AP550U),Комплект Bosch AeroTwin A969S,Комплект SWF VisioFlex 119354,Комплект Valeo First Multiconnection (VFB55+VFB55)"
232,"Chevrolet,Tahoe,2 пок., (99-06)",https://avto-dvorniki.ru/car/chevrolet/tahoe/0397/,"Стеклоочистители для Chevrolet Tahoe 2 пок., (99-06)",",Комплект Bosch AeroTwin (AR22U+AR22U),Комплект Hella Razor Hybrid (22+22),Комплект Trico Ice (ICE550+ICE550),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Hella Dyna Blade (WBU22+WBU22),Комплект Trico Force (TF550L+TF550L)"
233,"Chevrolet,Tracker,(98-04)",https://avto-dvorniki.ru/car/chevrolet/tracker/1695/,Стеклоочистители для Chevrolet Tracker (98-04),",Комплект Bosch AeroTwin AR480S,Комплект Hella Razor Hybrid (19+19),Комплект Alca Super Flat (ASF48+ASF48),Комплект Heyner Hybrid (HG48+HG48),Комплект Heyner All Seasons (HAS48+HAS48),Комплект Alca Winter (AW48+AW48),Комплект Trico NeoForm (NF480+NF480),Комплект Valeo HydroConnect Upgrade (HU48+HU48),Комплект Denso Flat (DFR-003+DFR-003),Комплект SWF VisioNext (119848+119848)"
234,"Chevrolet,Tracker,(13-)",https://avto-dvorniki.ru/car/chevrolet/tracker/1696/,Стеклоочистители для Chevrolet Tracker (13-),",Комплект Bosch AeroTwin A583S,Комплект Alca Super Flat (ASF65+ASF35),Комплект Heyner Hybrid (HG65+HG35),Комплект Heyner All Seasons (HAS65+HAS35),Комплект Denso Flat DF-041,Комплект SWF VisioFlex 119278,Комплект Valeo HydroConnect Front (HF65+HF35)"
235,"Chevrolet,Trailblazer,(12-)",https://avto-dvorniki.ru/car/chevrolet/trailblazer/1553/,Стеклоочистители для Chevrolet Trailblazer (12-),",Комплект OEM General Motors 94771074"
236,"Chevrolet,Trailblazer,(01-10)",https://avto-dvorniki.ru/car/chevrolet/trailblazer/0400/,Стеклоочистители для Chevrolet Trailblazer (01-10),",Комплект Bosch AeroTwin AR550S,Комплект Hella Razor Hybrid (22+22),Комплект Bosch AeroTwin (AR22U+AR21U),Комплект Trico Ice (ICE550+ICE550),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Hella Dyna Blade (WBU22+WBU22),Комплект Trico Force (TF550L+TF550L)"
237,"Chrysler,300C,2 пок., (11-14)",https://avto-dvorniki.ru/car/chrysler/300c/0681/,"Стеклоочистители для Chrysler 300C 2 пок., (11-14)",",Комплект Denso Hybrid (DUR-060L+DUR-053L),Комплект Heyner Hybrid (HG60+HG53),Комплект Hella Razor Hybrid (24+21)"
238,"Chrysler,300C,1 пок., (04-10)",https://avto-dvorniki.ru/car/chrysler/300c/0679/,"Стеклоочистители для Chrysler 300C 1 пок., (04-10)",",Комплект Hella Razor Hybrid (22+22),Комплект Denso Hybrid (DUR-055L+DUR-055L),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Trico Force (TF550L+TF550L)"
239,"Chrysler,300M,(98-04)",https://avto-dvorniki.ru/car/chrysler/300m/0682/,Стеклоочистители для Chrysler 300M (98-04),",Комплект Hella Razor Hybrid (24+22),Комплект Bosch AeroTwin (AR24U+AR22U),Комплект Denso Hybrid (DUR-060L+DUR-055L),Комплект SWF VisioNext (119860+119855),Комплект Trico NeoForm (NF600+NF550),Комплект Valeo HydroConnect Upgrade (HU60+HU55),Комплект Trico Force (TF600L+TF550L),Комплект Denso Flat (DFR-009+DFR-007)"
240,"Chrysler,Concorde,2 пок., (98-04)",https://avto-dvorniki.ru/car/chrysler/concorde/0684/,"Стеклоочистители для Chrysler Concorde 2 пок., (98-04)",",Комплект Hella Razor Hybrid (24+22),Комплект Denso Hybrid (DUR-060L+DUR-055L),Комплект Heyner Hybrid (HG60+HG56),Комплект SWF VisioNext (119860+119855),Комплект Trico NeoForm (NF600+NF550),Комплект Trico Force (TF600L+TF550L)"
241,"Chrysler,Concorde,1 пок., (92-97)",https://avto-dvorniki.ru/car/chrysler/concorde/0683/,"Стеклоочистители для Chrysler Concorde 1 пок., (92-97)",",Комплект Trico NeoForm (NF600+NF550),Комплект Trico Force (TF600L+TF550L)"
242,"Chrysler,Crossfire,(03-08)",https://avto-dvorniki.ru/car/chrysler/crossfire/0685/,Стеклоочистители для Chrysler Crossfire (03-08),",Комплект Bosch AeroTwin AR551S,Комплект Hella Razor Hybrid (22+20),Комплект Bosch AeroTwin (AR22U+AR20U),Комплект SWF VisioNext (119855+119850),Комплект Trico NeoForm (NF550+NF500),Комплект SWF VisioFlex 119741"
243,"Chrysler,Neon,(99-05)",https://avto-dvorniki.ru/car/chrysler/neon/0687/,Стеклоочистители для Chrysler Neon (99-05),",Комплект Bosch AeroTwin AR728S,Комплект Hella Razor Hybrid (22+19),Комплект Bosch AeroTwin (AR22U+AR19U),Комплект Denso Hybrid (DUR-055L+DUR-048L),Комплект Trico NeoForm (NF550+NF480),Комплект Valeo HydroConnect Upgrade (HU55+HU48),Комплект SWF VisioFlex 119740,Комплект SWF VisioNext (119855+119848),Комплект Trico Force (TF550L+TF480L)"
244,"Chrysler,Pacifica,(03-07)",https://avto-dvorniki.ru/car/chrysler/pacifica/0689/,Стеклоочистители для Chrysler Pacifica (03-07),",Комплект Trico NeoForm (NF550+NF550),Комплект Trico Force (TF550L+TF550L)"
245,"Chrysler,PT Cruiser,(00-10)",https://avto-dvorniki.ru/car/chrysler/pt-cruiser/0690/,Стеклоочистители для Chrysler PT Cruiser (00-10),",Комплект Bosch AeroTwin AR532S,Комплект Bosch AeroTwin (AR21U+AR20U),Комплект Denso Hybrid (DUR-053L+DUR-050L),Комплект Alca Super Flat (ASF53+ASF50),Комплект Heyner Hybrid (HG53+HG50),Комплект Alca Winter (AW53+AW50),Комплект Trico NeoForm (NF530+NF500),Комплект Valeo HydroConnect Upgrade (HU53+HU50),Комплект Hella Razor Hybrid (21+20),Комплект SWF VisioNext (119853+119850)"
246,"Chrysler,Sebring,3 пок., (06-10)",https://avto-dvorniki.ru/car/chrysler/sebring/0693/,"Стеклоочистители для Chrysler Sebring 3 пок., (06-10)",",Комплект Hella Razor Hybrid (24+22),Комплект Bosch AeroTwin (AR24U+AR22U),Комплект Denso Hybrid (DUR-060L+DUR-055L),Комплект SWF VisioNext (119860+119855),Комплект Trico NeoForm (NF600+NF550),Комплект Valeo HydroConnect Upgrade (HU60+HU55),Комплект Trico Force (TF600L+TF550L),Комплект Denso Flat (DFR-009+DFR-007)"
247,"Chrysler,Sebring,2 пок., (00-06)",https://avto-dvorniki.ru/car/chrysler/sebring/0692/,"Стеклоочистители для Chrysler Sebring 2 пок., (00-06)",",Комплект Bosch AeroTwin (AR22U+AR22U),Комплект Hella Razor Hybrid (22+22),Комплект Denso Hybrid (DUR-055L+DUR-055L),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Trico Force (TF550L+TF550L)"
248,"Chrysler,Stratus,(95-01)",https://avto-dvorniki.ru/car/chrysler/stratus/0694/,Стеклоочистители для Chrysler Stratus (95-01),",Комплект Bosch AeroTwin (AR22U+AR22U),Комплект Hella Razor Hybrid (22+22),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Trico Force (TF550L+TF550L)"
249,"Chrysler,Town & Country,(07-10)",https://avto-dvorniki.ru/car/chrysler/town--country/0695/,Стеклоочистители для Chrysler Town & Country (07-10),",Комплект Trico NeoForm (NF700+NF700),Комплект Trico Force (TF700L+TF700L)"
250,"Chrysler,Voyager,5 пок., (08-15)",https://avto-dvorniki.ru/car/chrysler/voyager/0699/,"Стеклоочистители для Chrysler Voyager 5 пок., (08-15)",",Комплект Bosch AeroTwin AR701S,Комплект Bosch AeroTwin (AR26U+AR20U),Комплект Alca Super Flat (ASF65+ASF50),Комплект Heyner Hybrid (HG65+HG50),Комплект Hella Razor Hybrid (26+20),Комплект Alca Winter (AW65+AW50),Комплект SWF VisioNext (119865+119850),Комплект Trico NeoForm (NF650+NF500),Комплект Valeo HydroConnect Upgrade (HU65+HU50)"
251,"Chrysler,Voyager,4 пок., (01-07)",https://avto-dvorniki.ru/car/chrysler/voyager/0698/,"Стеклоочистители для Chrysler Voyager 4 пок., (01-07)",",Комплект Bosch AeroTwin (AR26U+AR26U),Комплект Alca Super Flat (ASF65+ASF65),Комплект Heyner Hybrid (HG65+HG65),Комплект Hella Razor Hybrid (26+26),Комплект SWF VisioNext (119865+119865),Комплект Alca Winter (AW65+AW65),Комплект Trico NeoForm (NF650+NF650),Комплект Valeo HydroConnect Upgrade (HU65+HU65),Комплект Bosch AeroTwin AR651S,Комплект Denso Flat (DFR-011+DFR-011)"
252,"Chrysler,Voyager,3 пок., (95-00)",https://avto-dvorniki.ru/car/chrysler/voyager/0697/,"Стеклоочистители для Chrysler Voyager 3 пок., (95-00)",",Комплект Bosch AeroTwin (AR26U+AR26U),Комплект Alca Super Flat (ASF65+ASF65),Комплект Heyner Hybrid (HG65+HG65),Комплект Hella Razor Hybrid (26+26),Комплект SWF VisioNext (119865+119865),Комплект Alca Winter (AW65+AW65),Комплект Trico NeoForm (NF650+NF650),Комплект Bosch AeroTwin AR651S,Комплект Denso Flat (DFR-011+DFR-011),Комплект Valeo HydroConnect Upgrade (HU65+HU65B)"
253,"Citroen,Berlingo,2 пок., (08-)",https://avto-dvorniki.ru/car/citroen/berlingo/0688/,"Стеклоочистители для Citroen Berlingo 2 пок., (08-)",",Комплект Bosch AeroTwin A414S,Комплект Bosch AeroTwin Multi-Clip AM468S,Комплект Bosch AeroTwin Plus (AP650U+AP400U),Комплект Trico Ice (ICE650+ICE400),Комплект Valeo HydroConnect Front (HF65+HF40),Комплект Alca Super Flat (ASF65+ASF40),Комплект Heyner Hybrid (HG65+HG40),Комплект Alca Winter (AW65+AW40),Комплект SWF VisioFlex 119429,Комплект Valeo Silencio Flat VF468 / VM468,Комплект Valeo First Multiconnection (VFB65+VFB40),Комплект Hella Dyna Blade (WBU26+WBU16),Комплект Denso Flat DF-044,Комплект Trico NeoForm (NF659+NF409)"
254,"Citroen,Berlingo,1 пок., (96-08) распашные задние двери",https://avto-dvorniki.ru/car/citroen/berlingo/1153/,"Стеклоочистители для Citroen Berlingo 1 пок., (96-08) распашные задние двери",",Комплект Bosch AeroTwin AR550S,Комплект Hella Razor Hybrid (22+22),Комплект Bosch AeroTwin (AR22U+AR21U),Комплект Trico Ice (ICE550+ICE550),Комплект Denso Hybrid (DUR-055L+DUR-053L),Комплект Alca Super Flat (ASF56+ASF53),Комплект Heyner Hybrid (HG56+HG53),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Hella Dyna Blade (WBU22+WBU22),Комплект Trico Force (TF550L+TF550L)"
